country,best_model,cv_mse,gap_low_2080,H-70,H-80,H-90,M-70,M-80,M-90,L-70,L-80,L-90,converges_low70
Paraguay,Linear,0.0292,-0.3859,X,X,X,X,X,X,X,X,X,False
Philippines,Logistic,0.0353,-0.4064,X,X,X,X,X,X,X,X,X,False
Indonesia,Logistic,0.0145,-0.4131,X,X,X,X,X,X,X,X,X,False
Morocco,Linear,0.0044,-0.4243,X,X,X,X,X,X,X,X,X,False
Uruguay,Sqrt,0.0175,-0.4589,X,X,X,X,X,X,X,X,X,False
Estonia,Logistic,0.0171,-0.4828,X,X,X,X,X,X,X,X,X,False
South Africa,Logistic,0.0243,-0.502,X,X,X,X,X,X,X,X,X,False
Chile,Sqrt,0.005,-0.511,X,X,X,X,X,X,X,X,X,False
Croatia,Logistic,0.0136,-0.5191,X,X,X,X,X,X,X,X,X,False
Ukraine,Logistic,0.04,-0.5345,X,X,X,X,X,X,X,X,X,False
Colombia,Linear,0.0145,-0.5752,X,X,X,X,X,X,X,X,X,False
Trinidad and Tobago,Sqrt,0.0516,-0.5976,X,X,X,X,X,X,X,X,X,False
Peru,Logistic,0.0182,-0.6328,X,X,X,X,X,X,X,X,X,False
Honduras,Linear,0.0078,-0.6353,X,X,X,X,X,X,X,X,X,False
Belarus,Logistic,0.0109,-0.7413,X,X,X,X,X,X,X,X,X,False
Serbia,Logistic,0.0466,-0.7757,X,X,X,X,X,X,X,X,X,False
Moldova,Logistic,0.0531,-0.8595,X,X,X,X,X,X,X,X,X,False
"Iran, Islamic Rep.",Sqrt,0.0216,-1.0372,X,X,X,X,X,X,X,X,X,False
North Macedonia,Logistic,0.0192,-1.0717,X,X,X,X,X,X,X,X,X,False
Lebanon,Sqrt,0.0254,-1.0726,X,X,X,X,X,X,X,X,X,False
Armenia,Logistic,0.0246,-1.0911,X,X,X,X,X,X,X,X,X,False
Barbados,Logistic,0.005,-1.1064,X,X,X,X,X,X,X,X,X,False
Botswana,Linear,0.0071,-1.1176,X,X,X,X,X,X,X,X,X,False
"Egypt, Arab Rep.",Sqrt,0.0144,-1.1501,X,X,X,X,X,X,X,X,X,False
Jamaica,Sqrt,0.0068,-1.1674,X,X,X,X,X,X,X,X,X,False
Kazakhstan,Logistic,0.0265,-1.3384,X,X,X,X,X,X,X,X,X,False
Jordan,Logistic,0.0152,-1.3387,X,X,X,X,X,X,X,X,X,False
Kuwait,Logistic,0.0201,-1.3553,X,X,X,X,X,X,X,X,X,False
"Bahamas, The",Logistic,0.0045,-1.3643,X,X,X,X,X,X,X,X,X,False
Suriname,Logistic,0.0121,-1.4276,X,X,X,X,X,X,X,X,X,False
Tajikistan,Logistic,0.1172,-1.4288,X,X,X,X,X,X,X,X,X,False
Burkina Faso,Linear,0.0051,-1.4454,X,X,X,X,X,X,X,X,X,False
Guatemala,Linear,0.0031,-1.4474,X,X,X,X,X,X,X,X,X,False
Dominican Republic,Sqrt,0.0038,-1.4478,X,X,X,X,X,X,X,X,X,False
Tanzania,Linear,0.0427,-1.5583,X,X,X,X,X,X,X,X,X,False
Nicaragua,Linear,0.0017,-1.5832,X,X,X,X,X,X,X,X,X,False
Oman,Sqrt,0.0317,-1.5904,X,X,X,X,X,X,X,X,X,False
Fiji,Sqrt,0.017,-1.5919,X,X,X,X,X,X,X,X,X,False
Tunisia,Logistic,0.0048,-1.6948,X,X,X,X,X,X,X,X,X,False
Lesotho,Linear,0.0242,-1.7171,X,X,X,X,X,X,X,X,X,False
Bahrain,Linear,0.0108,-1.8241,X,X,X,X,X,X,X,X,X,False
Saudi Arabia,Sqrt,0.0163,-1.8414,X,X,X,X,X,X,X,X,X,False
Namibia,Sqrt,0.0126,-1.8447,X,X,X,X,X,X,X,X,X,False
Mexico,Logistic,0.0027,-1.8557,X,X,X,X,X,X,X,X,X,False
Sierra Leone,Logistic,0.047,-1.8763,X,X,X,X,X,X,X,X,X,False
Cabo Verde,Logistic,0.008,-1.9002,X,X,X,X,X,X,X,X,X,False
Qatar,Sqrt,0.0635,-1.9402,X,X,X,X,X,X,X,X,X,False
Senegal,Linear,0.0031,-1.9991,X,X,X,X,X,X,X,X,X,False
Gabon,Sqrt,0.0179,-2.0715,X,X,X,X,X,X,X,X,X,False
Cameroon,Logistic,0.0099,-2.0827,X,X,X,X,X,X,X,X,X,False
Bolivia,Sqrt,0.0137,-2.1054,X,X,X,X,X,X,X,X,X,False
Azerbaijan,Logistic,0.1767,-2.1969,X,X,X,X,X,X,X,X,X,False
Sudan,Sqrt,0.0137,-2.2712,X,X,X,X,X,X,X,X,X,False
Benin,Linear,0.003,-2.6772,X,X,X,X,X,X,X,X,X,False
Kyrgyz Republic,Logistic,0.0155,-2.7335,X,X,X,X,X,X,X,X,X,False
Nigeria,Logistic,0.0505,-2.7519,X,X,X,X,X,X,X,X,X,False
Mauritania,Logistic,0.0044,-2.7915,X,X,X,X,X,X,X,X,X,False
Angola,Logistic,0.0601,-2.8409,X,X,X,X,X,X,X,X,X,False
Zambia,Logistic,0.0259,-3.0181,X,X,X,X,X,X,X,X,X,False
Togo,Sqrt,0.0124,-3.0963,X,X,X,X,X,X,X,X,X,False
Zimbabwe,Logistic,0.0758,-3.4584,X,X,X,X,X,X,X,X,X,False
Chad,Logistic,0.0499,-3.7855,X,X,X,X,X,X,X,X,X,False
Niger,Logistic,0.0165,-4.3767,X,X,X,X,X,X,X,X,X,False
Mozambique,Logistic,0.0254,-4.4184,X,X,X,X,X,X,X,X,X,False
Burundi,Linear,0.0105,-6.2097,X,X,X,X,X,X,X,X,X,False
Central African Republic,Linear,0.022,-7.1326,X,X,X,X,X,X,X,X,X,False
