country,year,Total Number of Deaths,"Inflation, consumer prices (annual %)","Agriculture, forestry, and fishing, value added (% of GDP)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Oil rents (% of GDP),Fuel exports (% of merchandise exports),"Foreign direct investment, net inflows (BoP, current US$)"
Azerbaijan,1991,35,-10.630097,30.4827844,71.257,7.34652577,,
Azerbaijan,1992,4785,1128.00002,26.0596253,72.353,,,
Azerbaijan,1993,1823,1662.21595,27.1095541,72.414,35.4573316,,10000
Azerbaijan,1994,3919,411.759642,32.3456632,72.997,38.312246,,22000000
Azerbaijan,1995,82,19.7948028,25.3444559,73.541,20.0872027,,330050000
Azerbaijan,1996,11,3.6743481,24.9615751,72.846,21.6088403,66.3947992,627277000
Azerbaijan,1997,36,-0.7726979,20.1279169,71.718,15.0224093,61.4496099,1114838000
Azerbaijan,1998,38,-8.52517,18.1479974,70.371,4.8840189,68.9329892,1022967000
Azerbaijan,1999,35,1.80500304,18.3995126,69.223,17.009998,78.6030408,510317000
Azerbaijan,2000,16,1.5471959,16.0848647,67.753,32.9457476,85.0824924,129937000
Azerbaijan,2001,7,2.77116472,14.8374596,66.459,23.7019954,91.3282887,819579000
Azerbaijan,2002,0,2.23386493,13.9546392,65.205,23.2537195,88.92083,2024577000
Azerbaijan,2003,0,6.70893043,12.4256629,64.066,23.6510138,86.0089729,4007330000
Azerbaijan,2004,8,9.67950732,10.988019,62.538,26.8343888,82.2163751,4719107000
Azerbaijan,2005,25,8.32892483,9.08684368,61.711,37.4466296,76.763723,4476396000
Azerbaijan,2006,8,16.699755,7.09157056,60.511,39.5813074,84.5911225,4485966000
Azerbaijan,2007,28,20.8490872,6.70298479,57.876,36.8683514,81.3989395,4594234000
Azerbaijan,2008,43,1.45704836,5.59580638,57.259,39.500773,97.0827819,3986807000
Azerbaijan,2009,13,5.72687225,6.12193306,57.482,26.6788301,92.8567081,2900030000
Azerbaijan,2010,28,7.85833333,5.5212528,57.437,25.5154476,94.5094608,3352997000
Azerbaijan,2011,28,1.0662134,5.07564994,57.873,29.797955,94.7473908,4485120000
Azerbaijan,2012,18,2.41571745,5.13976951,58.398,25.8177819,93.4193317,5293250000
Azerbaijan,2013,14,1.37344182,5.36626448,58.82,22.5837832,92.9958064,2619437000
Azerbaijan,2014,54,4.02768574,5.31940672,59.68,20.2463063,92.7612993,4430466000
Azerbaijan,2015,99,12.4433749,6.17745495,60.386,12.0695751,88.4616496,4047630000
Azerbaijan,2016,256,12.9359184,5.60494628,61.419,12.7825654,91.6996217,4499666000
Azerbaijan,2017,37,2.2685469,5.60736901,61.787,17.1235679,90.5986895,2867487000
Azerbaijan,2018,20,2.61057183,5.21250562,62.195,24.17241,91.736392,1402998000
Azerbaijan,2019,10,2.75980947,5.69525814,61.957,20.4577105,90.654374,1503918000
Azerbaijan,2020,9067,6.65029913,6.73894742,62.356,11.1476827,87.2469415,507151800
Azerbaijan,2021,33,13.852259,5.72598366,58.411,20.9833751,88.4074491,-1.71E+09
Azerbaijan,2022,157,8.7854305,4.61220831,60.401,,92.5375594,-4.47E+09
Azerbaijan,2023,442,,5.54089045,59.956,,91.4998711,252836000
,,,,,,,,
,,https://ucdp.uu.se/country/373,,,,,,
