Year,"Proportion of informal employment, by sector and sex - 13th ICLS (%) - SL_ISV_IFEM - Non-agriculture - Both sexes",Minimum wage (in Colombian pesos),"Foreign direct investment, net (BoP, current US$)","Colombia Imports from Colombia of Mineral fuels, oils, distillation products","Goods exports (BoP, current US$)",Coffee Exports Value (Millones de dólares (USD))
2000,,,-2111113395,,13744694741,1178.25387807
2001,,,-2525823161,,12860428586,865.39821084
2002,,,-1276872386,,12367040812,866.43106111
2003,,,"-782806305,2",17600,13798246747,909.35995722
2004,,,-2923186787,300000,17194908681,1074.31451652
2005,,,-5439905871,934000,21708662781,1611.75609667
2006,,,-5482868609,30600,25166243998,1676.56111962241
2007,62.4,,-7606968007,80000,30555767082,1892.92343427
2008,61.75,,-7479031428,50000,38476021835,2162.49016043
2009,63.88,496900,-4530088274,45000,33977347462,1713.90288699
2010,63.16,515000,"-947330831,3",200000,40761915542,2215.59071504
2011,62.53,535600,-6227223174,669,58262191478,2847.04275184
2012,62.07,566700,-15646181232,7110000,61603864423,2134.53238703
2013,60.16,589500,-8558338413,5000000,60282300134,2158.25794095
2014,58.52,616000,-12269760181,1560000,56898749075,2685.23227243
2015,58.26,644350,-7402796210,900000,38572113082,2787.55754756
2016,57.4,689455,-9340585801,500000,34063233599,2591.51669621
2017,56.99,737717,-10011316371,250000,39785612624,2807.357518
2018,57.24,781242,-6172375053,150000,42993049353,2614.6369729
2019,56.99,828116,-10835657540,114000,40655600660,2607.16516878
2020,,877803,-5725176361,,32308967195,2654.5982873
2021,58.55,908526,,,,
2022,53.5,1000000,,,,
