Year,"Luxembourg, tax revenue (Billion EUR)",Total assets of the banking industry (in billion euros),Total assets of banks as percentage of gross domestic product (GDP) (%),Net interest income of the banking industry (in billion EUR),Foreign direct investment (FDI) (million $),Harmonized Index of Consumer Price,"Taxes on income, profits and capital gains (% of total taxes)",Net migration,Proportion of seats held by women in national parliaments (%)
2000,"8,5",,,,,"72,71",45.1922397,4516,16.66666667
2001,"8,9",,,,,"74,96",46.43919707,3427,16.66666667
2002,"9,4",,"2642,35",,"4243,174365","77,19",47.08979659,2759,16.66666667
2003,"9,8",,"2480,32",,"4291,105683","79,08",46.98466177,5581,16.66666667
2004,"10,2",,"2469,37",,"5179,643439","79,93",43.34298691,4566,23.33333333
2005,"11,3",,"2613,56",,"4644,769483","82,05",45.0157954,6310,23.33333333
2006,"12,1",,"2454,12",,"32219,53464","84,23",45.79802432,5557,23.33333333
2007,"13,5",,"2428,6",,"-29679,42581","85,79",44.85428385,6244,23.33333333
2008,14,"1008,08","2393,76","7,46","7117,112828","87,57",47.35316412,7969,23.33333333
2009,"14,2","873,87","2078,42","6,19","27255,15425","90,55",47.32869076,6855,20
2010,"15,1","766,27","1843,12","4,77","39128,52876","92,49",48.15357054,7909,20
2011,16,"794,36","1811,55","5,11","8843,156717","93,89",47.10214768,10918,25
2012,"16,9","740,13",1588,"4,72","2824,125588","95,46",46.96888763,10273,21.66666667
2013,"17,8","717,88","1469,82","4,27","23299,02384","96,55",47.32818918,10535,28.33333333
2014,"18,7","810,51","1441,69","5,08","20060,31379","98,09",46.20192786,11217,28.33333333
2015,"18,8","811,24","1389,66","5,59","45432,15356","98,86",50.72480445,11377,28.33333333
2016,"19,9","845,77","1363,78","5,63","17580,97009","100,61",50.33808764,12760,28.33333333
2017,"21,3","821,69","1288,53","5,8","-27369,77666","101,37",50.17537625,9643,28.33333333
2018,"23,7","851,08","1285,93","5,97","-83336,48255","102,84",51.8544009,10145,20
2019,"24,7","910,52","1309,86","6,36","163717,5968","104,07",51.05620125,10503,25
2020,"24,7","888,71","1323,99","6,19","9838,881744","105,43",50.70814341,6967,30
2021,"27,8",,"1330,47",,25123,"106,32",50.44025277,8724,35
2022,"29,9",,"1214,51",,"-322,054","108,31",51.00414855,13194,33.33333333
,,,,,,,53.76017021,5905,33.33333333
,,,,,,,,5677,33.33333333
,,,,,,,"Taxes on income, profits and capital gains (% of total taxes)",Net migration,Proportion of seats held by women in national parliaments (%)
,,,,,,,,immigrant-emigrant,
